first,last,title,company,industry,linkedin_url,person_info,company_info,company_goals,homepage_url,total_funding,latest_round,valuation,key_investors,funding_notes
Michael,Dippenaar,Director,TecEx,Supply Chain,https://www.linkedin.com/in/michael-dippenaar-0ab55839,"Michael Dippenaar is Global Sales & Client Success Director at TecEx (with the company since 2020, in the director role since Jan 2022), where he helps enterprise clients navigate cross-border IT procurement, VAT, logistics and compliance and has played a key role in closing technology deals exceeding $950M. He is an admitted Attorney of the High Court of South Africa with a BCom in Law and Economics and an LLB from the University of Johannesburg, and his earlier career spanned top law firms (Hogan Lovells, Cliffe Dekker Hofmeyr) and in-house legal counsel at Discovery. Based in Johannesburg, he also co-founded and scaled an international photographic safari company.","TecEx is a global trade-compliance specialist and the market leader in Importer of Record (IOR) and Exporter of Record (EOR) solutions for the technology hardware supply chain. Per its homepage, it removes barriers to trade by handling customs clearance, HS-code classification, regulatory compliance and delivered-duty-paid (DDP) door-to-door logistics so companies can move IT and networking gear across borders to 200+ destinations without a local entity. The company has completed 75,000+ shipments across 211 borders and serves 23 industries.","TecEx is building out a single-point-of-contact, technology-enabled trade platform (its TecEx App for instant quotes, shipment tracking and a partner portal) plus value-adds like liability cover, VAT recovery and return-merchandise authorization to derisk and streamline global tech rollouts. It targets enterprises deploying high-value, mission-critical IT, GPU and cloud/data-center hardware globally, and is expanding into emerging digital markets such as East African data centers. The goal is hassle-free, fully compliant global deployment for any business shipping tech hardware.",https://tecex.com/,Not disclosed,,,,Bootstrapped global Importer-of-Record/customs-compliance firm (~$68.6M 2026 revenue); no disclosed external funding rounds.
Moshe,Tanach,CEO,NeuReality,Cloud Infrastructure & Data Centers,https://linkedin.com/in/moshe-tanach-9274a03,"Moshe Tanach is the founder and CEO of NeuReality, which he started in Sep 2018 to design next-generation AI inference infrastructure. He is a semiconductor and systems veteran with prior senior architecture and R&D leadership roles at Marvell (Director of Architecture/ASIC), Intel (WiFi/Bluetooth product line director), DesignArt Networks and Siano Mobile Silicon, and holds a B.Sc. from the Technion. He is based in Israel and describes himself as an entrepreneur and a dreamer.","NeuReality is an AI infrastructure-optimization company focused on production AI inference at scale. Per its homepage, it helps AI infrastructure teams maximize GPU/XPU throughput, reduce latency and lower cost per token, framing modern AI deployments as 'token factories.' Its core products are NR-NEXUS (an 'Inference OS' that orchestrates, routes, optimizes, monitors and governs inference across models, runtimes, tenants and heterogeneous compute), the NR2 AI-SuperNIC networking silicon, and an AI-CPU that combines compute, networking and orchestration on a single chip.","NeuReality is building the software and silicon stack to turn fragmented inference into governed production capacity, improving utilization, protecting SLOs and cutting cost-per-token without locking customers into one accelerator, cloud, model or serving framework. It offers NR-NEXUS via serverless API, managed deployment, or annual license, and its NR2 AI-SuperNIC (1.6 Tbps, ultra-low latency, UEC support) targets scale-out GPU/XPU clusters and giga-factories. Customers are AI infrastructure operators, neoclouds, and platform/enterprise teams running large-scale production inference.",https://www.neureality.ai/,~$64-70M,"Series A-II, $20M, March 2024",~$86.7M (last disclosed) to ~$175M enterprise value (varies by source),"OurCrowd, Varana Capital, Cardumen Capital, SK Hynix, Xilinx, European Innovation Council (EIC)",Israeli AI inference/datacenter chip startup (founded 2019); total funding cited as $63M-$70M across sources.
Anna,Grigoryeva,SVP,PSG Equity,Venture Capital & Private Equity,https://www.linkedin.com/in/aegrigoryeva/,"Anna Grigoryeva is a Senior Vice President at PSG Equity (since Nov 2020), based in London, focused on early and growth-stage B2B technology investments across Europe, the US and Israel. Her deals include Frisbii (ex Billwerk), Visualfabriq, Commbox, Whoz, ZeroNorth, N2F (exited to FTV Capital), Hostaway, Corilus and Emotion Mobility. Originally from Portland, Oregon (BSc, University of Oregon), she previously invested at Karma Ventures and worked in portfolio operations at Project A Ventures, with board-observer roles at Infermedica and Minut.","PSG Equity is a growth equity firm that partners with middle-market and growth-stage software and technology-enabled services companies, investing across Europe, the US and Israel with roughly $30bn in AUM. Per its homepage, the firm positions itself on operational experience in the growth-stage software space, helping companies at their inflection point scale through a 'tried and tested growth engine.' Portfolio companies span IT monitoring (LogicMonitor), cybersecurity (Hornetsecurity, Glasswall), GRC (Protecht, CENTRL), healthcare software (Ensora Health) and fintech (SavvyMoney).","PSG is working to identify and scale leading software businesses, deploying capital plus operational and strategic support (including M&A roll-ups and international expansion) to help them unlock growth, expansion and impact. It serves founders and management teams of B2B software and tech-enabled-services companies, typically at the growth inflection point, and recently raised PSG Europe II at over EUR 2.6bn to invest exclusively in European software. It markets itself as a founder-friendly, collaborative partner for sustained scaling.",https://psgequity.com/,Over $28B AUM,"Closed two funds totaling $8B (PSG VI $6B + PSG Sequel $2B), Feb 2025",,"LPs: CPP Investments, GIC, StepStone, Hamilton Lane","Growth equity firm (founded 2014); these are fund commitments it manages, not capital it raised as a startup."
Phil,Sheaff,Account Executive,Netris inc,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/sheaff/,"Phil Sheaff is an Account Executive (and solutions-oriented technical seller) at Netris, based in the Greater Asheville, NC area, where he focuses on selling the company's AI cloud networking platform to neocloud and AI infrastructure operators. He brings 15+ years in IT as a senior network engineer (including a prior role at Dell Technologies) and is a Cisco Certified Network Associate (CCNA). Earlier in his career he ran his own network-engineering and audio/video consultancy and worked as a music producer, holding a BA in Music Synthesis from Berklee College of Music.","Netris (Netris, Inc., founded 2017, HQ Santa Clara, CA) is a software company that provides the leading network automation and multi-tenancy platform for AI cloud and GPU infrastructure operators. Per its homepage, Netris is the foundational, cloud-provider-grade networking layer across the entire AI stack (Ethernet, InfiniBand, NVLink, DPUs, virtual and edge networking), giving operators AWS-style abstractions (VPCs, elastic IPs, load balancers) plus hardware-level multi-tenancy and isolation. Engineers define the desired end state and Netris auto-configures VRFs, VXLANs, BGP and more in under two minutes with closed-loop assurance.","Netris's mission is to 'turn GPUs into revenue' by removing the networking bottleneck for AI clouds, letting operators launch GPU clouds in weeks, onboard tenants in minutes with hard isolation, maximize GPU utilization and avoid building fragile in-house automation. It serves neoclouds, NVIDIA Cloud Partners, AI factories, sovereign AI operators and enterprises, partnering with NVIDIA, HPE, Mirantis, Rafay, Spectro Cloud and vCluster. The company reports rapid growth (800% ARR, 20+ live deployments) and recently raised a Series A led by Andreessen Horowitz to accelerate adoption worldwide.",https://netris.io/,~$21M (under $6M before Series A),"Series A $15M, Jun 25 2026",,"Andreessen Horowitz (a16z, lead), Berkeley SkyDeck, Alumni Ventures, AAL Management",Network automation/multi-tenancy for AI infrastructure; a16z-led Series A after 800% ARR growth.
Majid,Yazdani,Co-founder & CEO,Leeroo,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/majid-yazdani-a9032011,"Majid Yazdani is co-founder and CEO of Leeroo (since Aug 2023), a London-based, YC-backed AI startup. He is an AI researcher and engineer whose goal is to model intelligence and make high-quality AI accessible, and was previously a staff scientist at Meta AI (co-developing 'Neural Databases') and at LinkedIn AI (content understanding and economic-graph representation learning), with earlier roles spanning VP at BYJU'S, the University of Geneva and the Idiap Research Institute. He holds a PhD from EPFL.","Leeroo is a YC-backed (S25) AI company based in London building Uniforge, an autonomous platform that builds enterprise context for AI agents. Per its homepage, Uniforge connects fragmented enterprise data (CRM, billing, ticketing, communications, data warehouses) and autonomously resolves entity identities, discovers relationships, enriches from the web, ensures data quality and builds ML models so AI agents stop hallucinating on partial, disconnected data. It also extracts operational knowledge (processes, rules, service definitions, team responsibilities) into a structured, queryable knowledge graph and runs inside the customer's own cloud (AWS, Azure or GCP).","Leeroo is building the 'context layer for the AI era,' aiming to deliver complete, current enterprise context (entity resolution, data quality and ML models like churn, fraud and cross-sell) in days rather than months and without a dedicated data team. Its go-to-market starts with a free 48-hour data audit, then a managed setup that stays continuously up to date. It targets enterprises and data/AI teams, with early pilots in banking, finance and healthcare where data sovereignty and on-prem/in-VPC deployment matter.",https://leeroo.com/,"Not disclosed (Pre-Seed, amount undisclosed)","Pre-Seed, undisclosed, Dec 4 2024",~$2M (disclosed estimate),Y Combinator,"London-based YC-backed AI agents startup (founded 2024); only a pre-seed round, amount not publicly disclosed."
Richard,Wang,"Co-founder, CFO",DensityAI,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/rwangsf/,"Richard Wang is co-founder and CFO of DensityAI, an AI hardware startup founded by alumni of Tesla's Dojo supercomputer program. A Stanford Graduate School of Business alum based in the San Francisco Bay Area, his background is in finance and investing, with prior roles at Tenzing Global Investors, Sculptor Capital Management, The Pritzker Organization and Millennium.","DensityAI is building a new generation of AI accelerators around a novel near-memory compute architecture aimed specifically at frontier-scale large language model inference. Its homepage explains the chip combines the near-memory compute topology of SRAM designs with the density of HBM, with the goal of beating GPUs on both energy and speed for large-model, long-context workloads. The company is designing a full-stack solution from silicon to rack to software, and is based in Mountain View, CA.","DensityAI is engineering the die, package and system layers together to push past the memory wall, targeting compute utilization of 90%+ versus roughly 7% on HBM GPUs. It is selling the world's fastest inference compute platform for frontier models to operators of large-scale AI/datacenter inference, and is hiring across silicon, packaging, networking and software as it scales out of stealth.",https://www.densityai.com/,Not disclosed,Stealth / early-stage (2025); amount not disclosed,,,"AI-accelerator/datacenter startup founded 2025 by ex-Tesla Dojo lead Ganesh Venkataramanan and ~20 ex-Dojo engineers; still in stealth, funding not publicly disclosed."
Darin,Verheijke,Head of Developer Relations,Featherless AI,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/darin-verheijke-71631613b,"Darin Verheijke leads Developer Relations at Featherless AI, where he evangelizes the platform to developers and speaks at AI events (e.g. GenAI Zurich 2026, where he gave the talk 'Why Specialized Models Will Always Matter'). Based in Belgium and educated at Universiteit Antwerpen, he is an active community-facing voice on the economics of moving teams from frontier models toward smaller, purpose-built specialized models.","Featherless AI is a serverless AI inference platform whose goal is to make every open-weight model available for instant, serverless inference. Per its homepage and docs, it offers one-click access to 30,000+ open-source models (Llama, Qwen, Mistral, DeepSeek, GLM, RWKV and more) via API with no infrastructure to manage, and is an official inference provider on Hugging Face.","Featherless is building toward democratizing AI by making the world's largest open-model catalog accessible without managing infrastructure, token limits or cost creep, offering serverless inference plus agent runtimes. It targets developers, creators, role-play/creative-writing users and businesses scaling production AI apps, and markets dramatically lower inference costs (over 10x cheaper) along with research into non-transformer architectures and reliable web-task AI agents.",https://featherless.ai/,$25M,"Series A, $20M, April 2026",,"AMD Ventures, Airbus Ventures (co-leads), BMW i Ventures, Kickstart Ventures, Panache Ventures, Wavemaker Ventures",Serverless open-source AI inference platform (founded 2023/24); $5M seed (Mar 2025) + $20M Series A (Apr 2026).
Andy,Griffin,Strategic Account Executive,vCluster,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/andygriffin1/,"Andy Griffin is a Strategic Account Manager/Executive at vCluster (formerly Loft Labs), focused on Kubernetes for GPU, AI and HPC workloads. Based in London, he brings an enterprise software sales background with prior roles at HashiCorp, Cloudera, Moogsoft and SAP.","vCluster (vCluster Labs) builds the next-generation virtualization layer for Kubernetes: virtual, fully isolated Kubernetes 'tenant clusters' that run inside a host cluster or standalone on bare metal/VMs. Per its homepage, it gives every tenant their own CNCF-certified Kubernetes cluster with a completely virtualized, invisible control plane, delivering hyperscaler-grade isolation built for AI cloud providers, AI factories and multi-cloud Kubernetes platforms.","vCluster is building Kubernetes multi-tenancy and tenant isolation for production AI infrastructure - including products like vNode for secure bare-metal/GPU tenant isolation and Auto Nodes/Standalone for dedicated setups. It serves GPU clouds, regulated and sovereign platforms, and enterprises (used by NVIDIA, NScale and 50+ GPU clouds plus Fortune 500s), helping them provision isolated clusters fast while cutting cost and cluster sprawl.",https://www.vcluster.com/,$28.6M,"Series A $24M, Apr 2024",,"Khosla Ventures, Fusion Fund, Surface Ventures, Emergent Ventures, Berkeley SkyDeck Fund",Operated by Loft Labs; creators of open-source virtual Kubernetes clusters (vCluster).
Manesh,Patel,Head of Data Centers,Radiant,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/manesh-patel-phd-ceng-miet-b77926a5/,"Dr. Manesh Patel (PhD, CEng, MIET) is Head of Data Centres at Radiant, focused on building the physical infrastructure backbone of the AI economy. UK-based and educated at Swansea University, he writes extensively on AI factory design, efficiency (PUE/PUE+), and the land-power-connectivity bottlenecks of deploying AI infrastructure at scale.","Radiant (radiant.co) describes itself as the first fully integrated AI infrastructure platform, building and operating the 'AI Factories' behind the AI era - unifying software, power, land, capital and compute into one vertically integrated utility model. Backed by Brookfield (100B+ in deployable capital) and an NVIDIA Cloud Partner using Blackwell/Rubin GPUs, it operates a large powered-land portfolio (5 GW live, 45 GW of renewable capacity) to deploy AI compute at speed.","Radiant is building and operating data centers from 'shovel to model,' offering a full AI Cloud (inference, fine-tuning, model registry, serverless Kubernetes, high-performance storage) on its proprietary dependency-free software platform that scales from 10K to 100K+ GPUs. It serves technology giants, AI builders and nations (including sovereign solutions and strategic infrastructure), aiming to deliver below-market power costs and total infrastructure control.",https://radiant.co/,Over $400M (est. across rounds),"Series D, $300M+, Dec 2025",,"Draper Associates, Boost VC","Nuclear microreactor startup (Radiant Nuclear); $300M+ Series D closed ~6 months after Series C to fund R-50 factory in Oak Ridge, TN."
Tessy,Antony de nassau,Director of European Government Affairs,Armada,Cloud Infrastructure & Data Centers,https://en.wikipedia.org/wiki/Tessy_Antony_de_Nassau,"Tessy Antony de Nassau is European Director of Government Affairs at Armada, leading the company's government relations across Europe. A Luxembourgish businesswoman, NATO/UN peacekeeping veteran (Kosovo) and former member of Luxembourg's Grand Ducal Family, she holds an MSc in International Studies and Diplomacy and has a long career in international government affairs, humanitarian advocacy (UNAIDS Global Advocate), impact investing and entrepreneurship.","Armada is a US-headquartered (San Francisco, founded 2022) edge computing company providing modular, full-stack AI infrastructure. Its platform combines portable 'Galleon' modular data centers, the Commander operating system for managing edge deployments, and Starlink satellite connectivity, enabling customers to process data and run AI in remote or disconnected environments where conventional connectivity and power are unavailable.","Armada is building and scaling modular, megawatt-class data centers (e.g. Leviathan, and the Galleon Forge One factory in Arizona with Johnson Controls) to bring AI compute to the edge. Valued at ~$2B after a $230M Series B, it targets defense, energy and industrial customers and governments (including an MOU on the U.S. DOE's Genesis Mission and MENA expansion), with a mission to remove barriers to AI adoption and bridge the digital divide.",https://www.armada.ai/,~$457M-$500M,"Series B $230M, May 19 2026",$2B (May 2026),"Founders Fund, Lux Capital, BlackRock, Overmatch, 8090 Industries, M12 (Microsoft), Shield Capital, Johnson Controls","Edge/modular AI data-center company; Series B co-led by Overmatch, BlackRock, 8090 at $2B valuation."
Stela,Llusha,VP - Strategic Delivery and Operations Okta,Okta,Enterprise Software & SaaS,https://www.linkedin.com/in/stela-llusha/,"Stela Llusha is a VP of Delivery Enablement & Operations for the Customer Identity Cloud (Auth0) business at Okta, based in the San Francisco Bay Area, where she has also held a VP of R&D Operations role. An operations and program-management leader, she previously served as VP of Operations at Samsara and held positions at Twilio, Yahoo!, and Accenture, with degrees from UC Berkeley and Rutgers.","Okta is the self-described ""World's Identity Company,"" providing the Okta (Workforce Identity) and Auth0 (Customer Identity) platforms that secure access, authentication, and automation for human, machine, and AI agent identities. Its homepage positions identity as the foundation of business security and growth, securing Fortune 100s, governments, and major brands such as McLaren, Wyndham, Hitachi, FedEx, and Mars.","Okta is building out an identity security fabric and AI-agent governance (e.g., ""Okta for AI Agents"") to secure the full lifecycle of every identity, with a heavy current focus on securing AI and the ""agentic enterprise."" It sells workforce identity, customer identity, and identity governance to enterprises, governments, and developers seeking Zero Trust security, passwordless sign-in, fraud/bot prevention, and seamless customer experiences.",https://www.okta.com,Public company (~$229M VC pre-IPO),IPO April 2017 ($187M); ~$229M over 9 rounds pre/at IPO,Public; ~$1.2B at 2015 private round; NASDAQ:OKTA today,"Andreessen Horowitz, Sequoia Capital, Greylock Partners",NASDAQ:OKTA identity/access management firm; FY2025 revenue $2.61B; long public.
Hakan,Elmas,Head of Family Office and Board Member,Limak Datacenters Engineering and Construction and Elektromekanik,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/hakanelmas,"Hakan Elmas is Head of the Family Office and a board member associated with Turkey's Limak Group, overseeing investment and operations spanning data centers, construction, and electromechanical (elektromekanik) businesses. His background is in family-office leadership and global-macro hedge-fund management (including a prior VP - Family Office role at MV Holding), with skills across private equity, institutional investment, infrastructure, colocation, hyperscalers, and cloud.","Limak is one of Turkey's largest international conglomerates (founded 1976), with over 47,000 employees and projects in 14 countries across construction, energy, tourism, cement, infrastructure, food & beverage, and technology. Its construction arm is Turkey's second-largest international contractor, and its energy electrical & mechanical contracting unit delivers mechanical and electrical design-and-build services, while Limak Technology provides IT infrastructure, software, cybersecurity, 24/7 monitoring, and data-center-related digital solutions.","Limak is expanding into data-center, cloud infrastructure, and electromechanical engineering alongside its flagship megaprojects (Kuwait International Airport Terminal 2, FC Barcelona's Spotify Camp Nou redevelopment, airports, ports, dams, and renewable energy). It serves governments, hyperscalers, and enterprise clients through engineering, construction, energy generation/distribution, and technology services, while pursuing sustainability and social-impact goals such as its Global Engineer Girls program.",https://www.limak.com.tr,Public company / large conglomerate (~$4.1B revenue),"Conventional Debt, $831M, Feb 22 2018",,"Kuwait Finance House, National Bank of Kuwait","Part of Limak Holding, a major Turkish construction/infrastructure/energy conglomerate (founded 1976); the $831M figure was a debt raise, not equity venture funding."
Adrien,Vanheste,Cybersecurity Investor,TIN Capital,Venture Capital & Private Equity,https://www.linkedin.com/in/adrien-vanheste-ba2234173,"Adrien Vanheste is a cybersecurity investor at TIN Capital, where he works as a Venture Partner / investment-team associate sourcing and evaluating deals. He has a cybersecurity-consultant and cyber-strategy background (a finalist in the Wavestone Wavegame cybersecurity tournament and author on cyber-power for the Institut Open Diplomacy), and previously interned in the digital department of the French Ministry of Foreign Affairs.","TIN Capital is a Dutch venture capital firm founded in 1998 (originally The Informal Investors Network), and is the only Benelux-based investment firm specialized in cybersecurity, making it one of Europe's longest-running specialist cyber VCs. From offices in Amsterdam and The Hague, it invests in European cybersecurity and IoT-security startups and scale-ups, with portfolio companies including BreachLock, Eye Security, EGERIE, SignPath, EclecticIQ, and Saporo.","TIN Capital is investing its 80M-euro-plus European Cyber Tech Fund V (backed by the EIF and Invest-NL) into roughly 12 European cybersecurity scale-ups at Series A/B, targeting IoT security, privacy-enhancing tech, national & economic security tech, and cyber-liability insurtech. Its stated mission is to build European cybersecurity ""champions"" and contribute to a safer, more resilient, and more digitally autonomous Europe amid regulations like NIS2, the Cybersecurity Act, and DORA.",https://www.tincapital.vc,Venture capital firm (not a fundraising startup),European Cyber Tech Fund V; +EUR15M committed (2025),,"Invest-NL, ROM Regio Utrecht, InnovationQuarter (LPs)","Dutch VC firm founded 1998 (formerly TIIN Capital), invests in European cybersecurity/IoT; figures are fund size, not funding raised."
Michael,Borrelli,Director,AI & Partners,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/michael-charles-borrelli-6a557253/,"Michael Charles Borrelli is a Director at AI & Partners, based in London, with 10+ years of experience in financial services, compliance, and technology. He helps clients navigate the EU AI Act and AI governance, frequently speaks and publishes on AI regulation, and also serves as an IoD Finance and FinTech Ambassador and an AI 2030 Chapter Advisor.","AI & Partners is a European AI governance software firm (""AI That You Can Trust"") that provides compliance software for global AI laws, with a particular focus on the EU AI Act. Per its site, it builds an AI Governance platform that simplifies regulatory compliance so firms of all sizes can operate within an AI-enabled environment while keeping trust at the core of their business; it was co-founded and is led by CEO Sean Musch.","AI & Partners is building and selling an AI governance/compliance platform plus advisory services that map AI systems to the EU AI Act's risk-based framework (prohibited, high-risk, etc.), handle incident reporting, and enable responsible, auditable AI use. It serves enterprises subject to the EU AI Act and related AI regulation, especially in financial services, working toward making trustworthy, compliant AI adoption practical and humanity-beneficial.",https://www.ai-and-partners.com,Not disclosed,,,,"Privately held UK AI-governance/EU AI Act compliance consultancy (AI & PARTNERS LTD, Companies House 07971880); no disclosed venture funding."
Nick,Dunayskyy,Digital Growth Partner,SeoProfy.com,"Media, Press & Content",https://www.linkedin.com/in/dunayskyy/,"Nick Dunayskyy is a Digital Growth Partner at SeoProfy, positioning himself around ""ROI-first SEO for SaaS, E-commerce & Legal"" and representing the agency at industry events such as Shoptalk Europe 2026 in Barcelona. He focuses on tying organic search and AI-search visibility to pipeline and revenue, treating organic visibility as an engineering rather than a marketing problem.","SeoProfy is an ROI-driven, data-driven SEO agency founded in 2012 by Victor Karpenko, headquartered in Orlando, Florida, with 100+ specialists serving 250+ clients across 45 countries and 15 languages. Its homepage frames it as a strategic SEO partner that turns organic search into a predictable revenue channel, backed by proprietary in-house tools (SearchAnalytics and LinkChecker) and 13+ years of international SEO experience.","SeoProfy sells SEO services including technical SEO, keyword research, content, on-page/off-page SEO, link building, local SEO, site recovery, and managed SEO, plus a growing AI-search offering (AI SEO/AEO, generative engine optimization, ChatGPT SEO). It targets ecommerce, SaaS, and legal clients and is working toward helping brands stay visible across Google and AI/answer engines as generative AI reshapes product discovery, with measurable organic revenue as the core use case.",https://www.seoprofy.com,Not disclosed,,,,"Bootstrapped SEO/digital marketing agency (Orlando, FL); no VC funding reported, services from ~$1,600/mo."
Orme,de Saint Hilaire,GTM Director Europe,SambaNova,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/orme-de-saint-hilaire-b1b76052/,"Orme de Saint Hilaire is Director, GTM Europe at SambaNova Systems (since May 2025), based in London and focused on growing the company's enterprise AI business across EMEA. He has spent roughly a decade helping US tech companies establish in EMEA, including sales leadership roles at DataStax, DataRobot and Trifacta, and earlier founded an award-winning tech startup while studying at Trinity College Dublin.","SambaNova is an AI hardware and inference company whose homepage positions it as 'the fastest AI inference platform,' delivering high-performance inference, fine-tuning and scalable solutions for agentic AI that integrate into existing data center infrastructure. Its technology centers on purpose-built RDU (Reconfigurable Dataflow Unit) AI chips with a three-tier memory and dataflow architecture, including its fifth-generation SN50 chip, designed for fast, energy-efficient inference on large models.","SambaNova is building a full chips-to-model stack (SN40/SN50 RDUs, SambaRack, SambaStack, SambaCloud and OpenAI-compatible APIs) optimized for fast, low-power agentic inference and the ability to run and switch between many frontier open-source models (DeepSeek, Llama, gpt-oss, MiniMax) on a single node. It is pushing 'premium inference' for AI agents and a network of sovereign-AI data center partners worldwide, serving enterprises, governments and research labs that need high-throughput, energy-efficient AI within their own borders.",https://sambanova.ai/,>$1.1B (over $1B as of Series D),"Series D, $676M, April 2021",>$5B (post Series D),"SoftBank Vision Fund 2, Temasek, GIC, BlackRock, Intel Capital, GV, Walden International, WRVI",AI chip/systems startup; Series D made it the best-funded AI systems startup at the time.
Nithin,Thomas,CEO,Klarytee,Cybersecurity,https://www.linkedin.com/in/nithinthomas,"Dr. Nithin Thomas is the founder and CEO of Klarytee, a London-based data-security startup he founded in 2021. A serial entrepreneur with over a decade in the security industry (he previously founded SQR Systems and won the Shell LiveWIRE 2012 Innovation Award), he positions Klarytee as a SaaS platform that builds security directly into sensitive content so control follows the data wherever it goes.","Klarytee is a British, patent-based 'data-centric governance platform' that gives organisations sovereign control over their data with visibility, protection and control for AI and beyond. Rather than securing the perimeter, it embeds protection and policy into the data fragment itself via selective fragment encryption, cryptographically binding access and usage policies to the data so control persists across vendors, AI pipelines (including RAG) and downstream environments.","Klarytee is building fine-grained fragment encryption, data discovery/cataloguing, and continuous data intelligence designed for crypto agility and post-quantum readiness (aligned with NCSC and NIST), governing access for both human users and AI agents on a strict need-to-know basis. Backed by a 700K pre-seed round (Concept Ventures and notable angels) and working with enterprise/government design partners, it targets organisations handling highly sensitive information - investment banking deal teams, regulated enterprises and government - that want to use AI and cloud without losing control of their data.",https://klarytee.com,~£700K (~$900K),"Pre-Seed, £700K, Dec 2023",~$10.6M (Dec 2023),"Concept Ventures, Michael Coates (ex-Twitter CISO), Evelyn Bourke (ex-Bupa CEO), founders of Digital Shadows",London-based data-centric security (encryption) SaaS startup founded 2021 by Nithin Thomas.
Jean-Luc,Vuattoux,Founder & CEO,Lexyra AI,Cybersecurity,https://linkedin.com/in/jlvuattoux,"Jean-Luc Vuattoux, PhD, is the founder of Lexyra AI (since Sep 2025), based in Lausanne, Switzerland, building what he calls 'the trust layer for PDFs in agentic AI systems.' A deep-tech entrepreneur with 20+ years in complex document analysis and industrial data processing, he co-founded Eranea (acquired by LzLabs), led engineering teams of up to 45 people, worked as a software architect at AWS on the Mainframe Modernization Application Testing service, and is co-author of five patents.","Lexyra AI is a cybersecurity/document-intelligence company that analyzes PDFs at the rendering layer to detect hidden text and images before they reach AI agents. Its homepage frames PDFs as 'an unguarded attack surface for agentic AI,' where hidden layers, white-on-white text, microscopic fonts and off-page elements can slip past conventional parsers and guardrails to trigger indirect prompt injection, data leakage or hijacked autonomous workflows.","Lexyra is building a rendering-aware trust layer (delivered as REST API, MCP server, CLI, and cloud SaaS or on-premise) that maps 20+ PDF concealment techniques, scores risk, and quarantines or approves documents both on ingestion and on the way out to prevent propagation and covert exfiltration. Its deep-extraction engine also rebuilds complex document structure, hierarchy, links and multi-page tables into clean, AI-ready data for RAG pipelines and enterprise workflows; the MVP is in selected demos as the company opens discussions with design partners and investors.",https://www.lexyra.ai/,Unknown,,,,"No direct match found; search surfaced many similarly-named legal-AI firms (Lexic.ai, Lexi, Lexion, Lexroom.ai) but none confirmed as 'Lexyra AI'."
Yuriy,Sheyko,Co-Head of Investments,Acquinox Capital,Venture Capital & Private Equity,https://www.linkedin.com/in/yuriysheyko/,"Yuriy Sheyko leads investments at Acquinox Capital, where he was brought on to develop the firm's direct private equity activity (the firm's site lists him as Investment Manager; the conference lists him as Co-Head of Investments). Based in Luxembourg, his background spans private markets and capital-markets work, including involvement with Baltic Partners and the launch of a 50M+ Baltic Capital Markets Acceleration Fund.","Acquinox Capital, founded in 2023 and based in Luxembourg/Switzerland, is a technology-focused private equity and advisory firm that empowers investors to access market leaders through curated private investing. It backs 'Next-Gen Industries' across Europe and North America, combining deep sector expertise with rigorous due diligence to source, support and scale tech-driven companies, and also runs a closed-end venture capital fund focused on mobile-first startups at late-seed and Series A stages.","Acquinox partners with companies across the full growth spectrum - from early commercialization to pre-IPO maturity - offering not just capital but strategic value-add, and has gained exposure to high-profile names such as Epic Games and xAI. Its thematic focus targets scalable technologies positioned to reshape global industries, serving private-capital investors seeking curated, tech-driven private-market opportunities; it published a 'Discovering Next-Gen Industries' whitepaper articulating this deep-tech investment thesis.",https://acquinox.capital/,Not disclosed,,,,"Luxembourg/Zurich private-equity & VC firm (founded 2023); it is an investor (closed-end VC fund), fund size not publicly disclosed."
