first_name,last_name,company_title,company_name,funding_tier,linkedin_url,person_info,homepage_url,company_info,company_goals,total_funding,latest_round,key_investors
Eiso,Kant,CEO & Co-Founder,Poolside,Tier 0,https://www.linkedin.com/in/eisokant/,"Eiso Kant is the CEO and Co-Founder of Poolside AI. He is a software entrepreneur with a background in building ventures focused on AI and software development. He co-founded Poolside in 2023 alongside Jason Warner, former CTO of GitHub.",https://poolside.ai/,"Poolside AI is a startup developing advanced artificial intelligence models and systems specifically designed for software engineering. The company builds foundation models and autonomous AI agents that integrate into enterprise software development workflows, emphasizing security, privacy, and efficiency.","Poolside aims to create the most capable AI for software development, advancing toward artificial general intelligence (AGI) to drive abundance for humanity. It serves enterprises, including government and defense sectors, by embedding AI directly into their development environments to automate and improve coding processes while maintaining strict security controls.",$626 million,"Series B funding round of $500 million in October 2024, led by Bain Capital, DST Global, and eBay","Bain Capital, DST Global, eBay, Redpoint Ventures, Felicis Ventures, Nvidia"
Guillermo,Rauch,Founder & CEO,Vercel,Tier 0,https://www.linkedin.com/in/rauchg,"Guillermo Rauch is the Founder and CEO of Vercel, a cloud platform that powers some of the biggest names on the internet. He began coding at age 10, dropped out of high school, and moved from Argentina to San Francisco as a teenager. He is also the creator of several major open source projects, including Socket.IO and Next.js.",https://vercel.com/,"Vercel is a developer platform that provides cloud infrastructure services for the web, including developer tools, frameworks, and cloud infrastructure to build and maintain websites. It is the maker of v0 and AI SDK.","Vercel is building the AI Cloud, a unified platform for building modern applications and agentic workloads. It serves developers, startups, and enterprises, including companies like Anthropic, OpenAI, Square, and WPP, enabling them to focus on creating intelligent applications rather than managing complex AI infrastructure.",$863M,"Series F - $300M on Sep 30, 2025","Accel, GIC, BlackRock, Khosla Ventures, Salesforce Ventures, Tiger Global"
Debanjan,Saha,Chief Executive Officer,DataRobot,Government,,No reliable information found about Debanjan Saha as Chief Executive Officer at DataRobot. The LinkedIn profile found for Debanjan Saha shows a different individual with no connection to DataRobot or CEO role.,https://www.datarobot.com/,"DataRobot is a Boston-based company founded in 2012 that provides an enterprise AI platform for building, deploying, and managing machine learning and generative AI models. It serves regulated industries such as financial services, government, healthcare, manufacturing, and retail, offering automation and governance for AI workflows.","DataRobot aims to democratize AI by enabling both technical data scientists and business analysts to build and deploy AI models with ease. The company focuses on delivering enterprise-grade AI applications that maximize impact and minimize risk, serving industries that require model governance, explainability, and audit trails. It is building a unified platform for predictive, generative, and agentic AI to accelerate AI adoption and operationalization at scale.",$1.05 billion,"Series G, $300 million, June 29, 2021","Altimeter Capital, Tiger Global Management, Morgan Stanley Counterpoint Global, Franklin Templeton, ServiceNow Ventures, Sutter Hill Ventures"
Des,Traynor,Co-founder and Chief Strategy Officer,Fin,Tier 2,https://uxdx.com/profile/des-traynor/,"Des Traynor is the Co-founder and Chief Strategy Officer at Fin, formerly known as Intercom. He has led multiple teams including Product, Marketing, Customer Support, and Content, and currently oversees Fin's R&D team. Before founding Fin, he was a UX consultant, university lecturer in computer science, and a Ph.D. researcher, and he also co-founded Exceptional.",https://fin.ai/,"Fin, formerly Intercom, is a software company providing an AI-driven customer service and messaging platform headquartered in San Francisco with offices worldwide. It offers an AI customer agent that automates and enhances customer support interactions using proprietary AI models and large language models.","Fin is building an AI-powered Customer Agent that works across the entire customer journey, from service to sales, aiming to deliver perfect customer experiences with high automation and human-like interaction quality. It serves fast-growing customer experience teams across various industries including software, retail, gaming, and financial services, helping them optimize processes, improve training, and make better technology decisions.",$22.9M total funding over 2 rounds,"$7M funding round on October 15, 2024, led by MaC Venture Capital","MaC Venture Capital, Simplex Investments, and 2 others"
Astrid,Moullé-Berteaux,Vice President,Headline,Investor,,No specific information about Astrid Moullé-Berteaux's LinkedIn profile or detailed career background is available in the provided data.,https://headline.com/,"Headline is a global venture capital firm founded in 1998, investing across stages and sectors including software, AI applications, consumer, fintech, and deep tech. It operates globally with teams in the US, Europe, Asia, and Brazil, supporting founders to scale internationally from regional markets.","Headline is building a fully technology-enabled investment platform to launch innovative products and expand into new geographies, aiming to help founders succeed globally. It serves fast-growing technology teams and startups across multiple sectors and stages, providing capital and support to scale their businesses internationally.",Unknown,"No specific recent funding round details available; however, Headline closed an $865 million global growth fund in 2024 to support later-stage tech startups.","European Union, KfW Capital, European Investment Fund (EIF)"
Dr. Chaouki,Kasmi,Chief Innovation Officer,Technology Innovation Institute,Government,https://www.linkedin.com/in/chaouki-kasmi-60837262,"Dr. Chaouki Kasmi is the Chief Innovation Officer at the Technology Innovation Institute (TII), a UAE-based scientific research center. He previously served as Chief Researcher at the Directed Energy Research Center, where he led research in high energy physics, electromagnetic technologies, radar and sensing systems, laser technologies, and acoustic devices. He has over 200 scientific publications, is a High-Power Electromagnetics (HPEM) Life Fellow, and has held leadership roles at DarkMatter, the French National Cybersecurity Agency (ANSSI), and the Helmut Schmidt University.",https://www.tii.ae/,"The Technology Innovation Institute (TII) is an Abu Dhabi government-funded research institution that operates as the applied research pillar of the Advanced Technology Research Council (ATRC). It comprises nine dedicated research centers focused on advanced technology domains including artificial intelligence, quantum computing, autonomous robotics, cryptography, advanced materials, directed energy, secure systems, biotechnology, and renewable energy.","TII aims to become a leading global research center dedicated to pushing the frontiers of knowledge by developing disruptive technological innovations. It works to solve society's greatest challenges through rigorous scientific discovery and inquiry, serving as a catalyst for change in science, society, the economy, and the environment. The institute partners internationally with leading research institutions and pioneering startups to deliver transformative technologies.",Unknown,,
Hoshik,Kim,SVP Memory System Research,SK,Established,,"Hoshik Kim is the SVP of Memory System Research at SK, a senior executive role focused on advancing memory technologies within the semiconductor division of SK Group. Specific career background details about Hoshik Kim could not be found in the provided information.",https://eng.sk.com/,"SK Group is a South Korean multinational manufacturing and services conglomerate, the second-largest chaebol by revenue in South Korea, specializing in biopharmaceuticals, energy, life sciences, semiconductors, and telecommunications.","SK is focused on building industries that drive financial and social prosperity, including electric vehicle batteries, semiconductor technology and materials, and pharmaceutical development. The company aims to serve customers and consumers through innovative technologies for AI, semiconductors, energy, and life sciences.",$31.1B,,
Alessandro,de Luca,Head of Digital Enterprise Solutions and Group CIO,Merck,Public,https://www.linkedin.com/in/alessandro-de-luca-4b2524,"Alessandro De Luca is the Head of Digital Enterprise Solutions and Group CIO at Merck. He is recognized for his inspiring leadership and agile management style, particularly in managing the Global Supply Chain at Merck, which has helped develop and motivate his team effectively.",https://www.merck.com/,"Merck & Co., Inc. is a global healthcare company headquartered in Rahway, New Jersey, that develops, manufactures, and sells prescription medicines, vaccines, biologic therapies, and animal health products worldwide. It is a research-intensive biopharmaceutical company with a history of over 130 years, known for innovation in medicine and vaccines.","Merck aims to be the premier research-intensive biopharmaceutical company globally, focusing on advancing prevention and treatment of diseases in people and animals. The company is working on innovative health solutions, including cancer therapies, vaccines, and biologic therapies, serving patients, healthcare providers, and the global community to improve health outcomes.",Public company,Merck secured $700 million funding from Blackstone in 2026 to develop an experimental cancer therapy (sac-TMT) currently in late-stage trials.,Blackstone Life Sciences
Ekin Dogus,Cubuk,Co-Founder,Periodic Labs,Tier 1,https://www.linkedin.com/in/ekin-dogus-cubuk-9148b8114,"Ekin Dogus Cubuk is the Co-Founder of Periodic Labs since September 2025. He was previously a Senior Research Scientist at Google DeepMind, focusing on deep learning applications in solid-state physics and materials science. He holds a PhD from Harvard University and conducted postdoctoral research at Stanford University.",https://periodic.com/,Periodic Labs develops artificial intelligence systems and autonomous laboratories that conduct experiments and generate data for material discovery and scientific research in physical sciences such as physics and chemistry. The company integrates AI models with robotic lab systems to accelerate scientific discovery and innovation.,"Periodic Labs aims to build AI scientists and autonomous laboratories that can generate hypotheses, run simulations, plan syntheses, and execute experiments autonomously to accelerate discovery in materials science and physical sciences. It serves industries including semiconductors, space, defense, energy, hardware, and pharmaceuticals, focusing on breakthroughs like new superconductors and improved materials.",$300 million,Seed round of $300 million in September 2025,"Andreessen Horowitz, Nvidia, Accel, DST, Elad Gil, Jeff Dean, Eric Schmidt, Jeff Bezos"
Erik,Bernhardsson,Co-founder and CEO,Modal,Tier 1,https://www.linkedin.com/in/erikbernhardsson,"Erik Bernhardsson is the Co-founder and CEO of Modal, a company he founded in 2021 with Akshat Bubna. He previously worked in technical roles at companies like Svegea, Serneke, and TDC Song AB, and has a background in technical support, land surveying, and communications.",https://modal.com,"Modal is a serverless platform for developing and deploying AI applications, providing a global, code-first compute platform built specifically for AI and machine learning workloads.","Modal is building a high-performance AI infrastructure platform that enables developers to run CPU, GPU, and data-intensive compute at scale with sub-second cold starts and instant autoscaling. The company serves AI teams, including Meta's Code World Models team, biotech companies, hedge funds, and two weather-forecasting firms, helping them deploy and scale AI applications faster.",$466M,"Series C - $355M on May 21, 2026","Lux Capital, Redpoint Ventures, General Catalyst, Definition Capital, Menlo, Bain Capital Ventures, Accel"
Jacob,Wallenberg,Vice President of International,RAMP,Tier 0,,No LinkedIn profile information for Jacob Wallenberg was found in the provided results.,https://ramp.com,"Ramp is an all-in-one financial operations platform that combines corporate cards, expense management, accounts payable, procurement, travel booking, and accounting automation to help businesses manage spending and streamline finance operations.","Ramp is building toward a future where AI is embedded at every layer of finance, from transaction review and fraud detection to forecasting, reconciliation, and cash flow management. The company serves over 50,000 organizations of all sizes, from early-stage startups to global leaders, helping them spend less and save time.",$3.19 billion,"Series F, $750 million, June 4, 2026","Founders Fund, Lightspeed Venture Partners, D1 Capital Partners, Coatue, GIC, Khosla Ventures, Sequoia, Greylock, Stripe, Goldman Sachs, Khosla Ventures, Khosla Ventures"
Jake,Stauch,CEO & Co-Founder,Serval,Tier 1,https://www.linkedin.com/company/getserval,"Jake Stauch is the CEO and Co-Founder of Serval, a company he co-founded in 2024 with Alex McLeod. He previously led product and engineering at Verkada, which informed the vision for an AI-native ITSM platform.",https://www.serval.com/,Serval is an AI-native IT service management platform that automates routine tasks and resolves help desk requests using natural language and AI agents.,"Serval is building an AI-powered ITSM platform to automate help desk operations, access management, and workflow creation, serving IT teams and modern enterprises by reducing manual IT tasks and improving operational efficiency.",$127M,"Series B - $75M on Dec 11, 2025","Sequoia, Redpoint, Meritech, First Round, General Catalyst, Evantic, Sound Ventures, Radical Ventures"
Farshad,Farahbakhshian,Chief Strategy Officer,Fundamental,Tier 1,,No specific LinkedIn profile or career background information is available for Farshad Farahbakhshian as Chief Strategy Officer at Fundamental. The available profiles for individuals named Farshad Farahbakhshian do not match this role.,https://fundamental.tech/,"Fundamental Technologies Inc. is an AI company based in San Francisco, CA, co-founded by DeepMind alumni. It specializes in building Large Tabular Models (LTMs) designed to unlock predictive intelligence from enterprise data, focusing on complex, non-linear relationships in massive tabular datasets that underpin critical business decisions.","Fundamental is building and commercializing its flagship AI model called NEXUS, which transforms structured business data into predictive intelligence at scale. The company aims to serve enterprises by enabling advanced analytics for use cases such as demand forecasting, price prediction, financial fraud detection, and customer churn. It targets Fortune 100 companies and partners with AWS to facilitate cloud deployment of its AI solutions.",$255 million,$225 million Series A round led by Oak HC/FT in early 2026,"Oak HC/FT, Salesforce Ventures, Valor Equity Partners, Battery Ventures, Hetz Ventures"
James,Day,EMEA Alliances Director,VAST Data,Tier 0,https://www.linkedin.com/in/dayja/,"James Day is the EMEA Alliances Director at VAST Data, responsible for strategic alliances in the European, Middle Eastern, and African regions. He joined VAST Data to redefine the future of databases and analytics, and has been instrumental in expanding the company's presence in the EMEA market.",https://www.vastdata.com,"VAST Data is an AI Operating System company that develops a unified data platform combining storage, database, and distributed computing capabilities into a single software infrastructure stack. The company was founded in 2016 by Renen Hallak, Shachar Fienblit, Jeff Denworth, and Alon Horev.","VAST Data is building the AI Operating System, a global data platform that empowers intelligent agents to store, think, communicate, and act. The company serves organizations across industries including media, life sciences, financial trading, autonomous driving, and government institutions, helping them manage large-scale AI workloads and unlock the full potential of their data.",$1.38 billion (across 7 funding rounds),"Series F, $1 billion at $30 billion valuation, April 2026","Drive Capital, Access Industries, Fidelity Management & Research, NEA, BOND Capital, NVIDIA, Dell Technologies Capital, Tiger Global, CapitalG"
Amit,Zavery,"President, CPO & COO",ServiceNow,Public,https://www.linkedin.com/in/amitzavery,"Amit Zavery is the President, Chief Product Officer, and Chief Operating Officer at ServiceNow. He has over 30 years of experience in enterprise software and cloud technology, previously holding leadership roles at Google Cloud and Oracle. He leads product, engineering, operations, and security teams at ServiceNow, focusing on AI-driven scalable solutions and business operations optimization.",https://www.servicenow.com/,"ServiceNow is a cloud-based software company that provides a unified platform for automating and managing enterprise workflows across IT, HR, customer service, security, and more. It offers AI-enhanced solutions to streamline operations, improve productivity, and enhance customer and employee experiences globally.","ServiceNow aims to deliver AI-powered digital workflows that simplify work, automate operations, and improve business outcomes for enterprises. It serves a broad range of industries by providing customizable, scalable cloud solutions that unify IT, employee, customer, and creator workflows to drive digital transformation and operational resilience.",Public company,,"Sequoia Capital, Colt Ventures, Alcor Fund, and others"
Jason,Calacanis,The Moderator,All-In,Investor,https://www.linkedin.com/in/jasoncalacanis,"Jason Calacanis is a technology entrepreneur, fund manager, and co-host of the All-In Podcast. He is also the host of This Week in Startups podcast and an angel investor known for early stage technology investments.",https://allin.com/,"The All-In Podcast is an American business and technology podcast hosted by four venture capitalists: Chamath Palihapitiya, Jason Calacanis, David Sacks, and David Friedberg. The show delivers long-form discussions of current events, markets, technology, and public policy.","The podcast aims to bring candid conversations and expert analysis on tech, startups, and beyond. It serves as a platform for political conversations and fundraising activity, with its audience and hosts networks making it a venue for political engagement and fundraising.",Unknown,,
Eiman,Ebrahimi,Co-Founder and CEO,Protopia AI,Tier 2,https://www.linkedin.com/in/eiman-ebrahimi,"Eiman Ebrahimi is the CEO and Co-Founder of Protopia AI. He has a Ph.D. in Electrical and Computer Engineering from UT Austin and previously worked as a Senior Research Scientist at NVIDIA for nine years, focusing on large-scale AI and GPU systems. He specializes in computer architecture, deep learning, and system architecture.",https://protopia.ai,"Protopia AI is a company specializing in privacy-preserving AI/ML technologies. Their core product, Stained Glass Transform™, enables AI models to use sensitive data securely without exposing raw data, supporting multi-tenant AI infrastructure and various industries including federal agencies, financial services, healthcare, and manufacturing.","Protopia AI is building solutions to enable secure, private AI inference on sensitive data, allowing enterprises and government agencies to unlock high-value data for AI without compromising privacy. They serve federal agencies, large enterprises, and startups, focusing on scalable, cost-efficient AI deployments that maintain data privacy and compliance.",$8.8M total funding as of December 2022,$2M funding round in December 2022,
Henri,Delahaye,Co Founder,RAISE & MACHINA,Tier 3,https://www.linkedin.com/in/henri-delahaye-a71316105,"Henri Delahaye is a founder and co-founder of RAISE Summit and MACHINA Summit, focusing on AI and technology. He has a background in tech and investment, leading initiatives that bring together AI and tech leaders globally, emphasizing the industrialization and real-world deployment of AI.",https://www.raisesummit.com/,"RAISE Summit is a global AI platform and summit that convenes AI and tech leaders, innovators, and companies to discuss and advance AI technology. MACHINA Summit, a part of RAISE, focuses on humanoids, robotics, industrial autonomy, and human-machine interfaces, bridging AI with physical systems.","RAISE is building a leading global AI platform that fosters collaboration among visionaries and AI builders, aiming to drive AI innovation and deployment at scale. MACHINA focuses on the convergence of AI with the physical world, supporting builders of autonomous systems and robotics. Both serve AI and tech leaders, enterprises, and innovators seeking to operationalize AI beyond digital realms into real-world applications.",Unknown,,
Ganesh,Venkat,CEO & Co-Founder,DensityAI,Tier 3,https://www.linkedin.com/in/venkatganesh,"Ganesh Venkat, also known as Ganesh Venkataramanan, is the CEO and Co-Founder of DensityAI. He previously led Tesla's Dojo supercomputing initiative and has a strong background in AI and supercomputing infrastructure, particularly in automotive AI applications.",https://www.densityai.com/,"DensityAI is a startup founded by former Tesla executives focused on building advanced AI chips, hardware, and software infrastructure for data centers serving automotive, robotics, and industrial applications. The company aims to provide specialized AI infrastructure solutions that handle large-scale AI model training and inference efficiently.","DensityAI is building the fastest inference solution for frontier AI models, aiming to offer a complete platform that helps automakers and related industries avoid the high cost and complexity of building in-house AI infrastructure. It serves automotive manufacturers, robotics, and industrial sectors, working toward scalable, efficient AI compute platforms integrating innovations across chip, system architecture, software, and data center infrastructure.",In talks to raise several hundred million dollars in funding; exact total funding amount is not publicly disclosed yet.,Seed round; currently in discussions to raise hundreds of millions of dollars (2025-2026).,
Claire,Thomas-Daoulas,Partner,Brunswick Group,Tier 2,https://www.linkedin.com/in/clairethomasdaoulas/,"Claire Thomas-Daoulas is a Partner at Brunswick Group, specializing in strategic communication with extensive experience in financial communication and public affairs. She co-leads Brunswick's European Technology, Media & Telecoms (TMT) team and is a founding member of the firm's Global Competition & Antitrust practice. Claire has worked in Brussels, San Francisco, and Paris, and holds degrees from LSE, Sciences Po, and Tsinghua University.",https://www.brunswickgroup.com/,"Brunswick Group is a global strategic advisory firm founded in 1987 and headquartered in London, UK. It provides critical communications advisory services including financial, corporate, crisis, and public affairs communications to leading organizations worldwide. The firm operates as a partnership with 27 offices globally and over 1,600 employees.","Brunswick Group helps companies tackle high-stakes issues, navigate complex stakeholder relationships, and deliver high-impact outcomes. It serves global organizations by providing integrated, bespoke advisory services in areas such as M&A, financial communications, crisis management, and geopolitics. The firm aims to create value by strengthening client relationships with critical stakeholders and managing sensitive, high-profile issues.",$74.5 million,"Private equity round of $74.5 million on July 24, 2021","BDT Partners, MSD Partners"
Don,Barneston,Senior VP of Product,Credo,Tier 1,https://www.linkedin.com/in/donbarnetson/,"Don Barnetson is Senior Vice President and Head of Product at Credo Semiconductor. He is a seasoned product, engineering, and marketing leader with extensive experience in the technology industry, having worked at companies such as Lunera, TV Anytime, SanDisk, Nanosys, Samsung Electronics, and Micron Technology. He holds an MBA from the University of California, Berkeley and a B.Sc.",https://credosemi.com/,"Credo Technology Group Holding Ltd is a semiconductor company specializing in high-speed connectivity solutions for data infrastructure, including optical and electrical Ethernet and PCIe applications. Founded in 2008 and publicly traded on Nasdaq (CRDO), Credo develops products such as serializer-deserializer circuits, active electrical cables, optical transceivers, and digital signal processors to support AI-driven applications, cloud computing, and hyperscale networks.","Credo aims to transform connectivity at scale by providing fast, reliable, and energy-efficient system solutions to overcome bandwidth bottlenecks in AI data centers and other high-demand environments. It serves hyperscale operators, system vendors, and AI infrastructure markets by delivering innovative interconnect products that enhance performance and scalability for next-generation AI and data center applications.",$108 million,"Public company since January 27, 2022","BlackRock, Walden International"
Anthony,Moisant,Chief Information Officer & Chief Security Officer,Indeed,Tier 2,,No specific information about Anthony Moisant's LinkedIn profile or detailed career background is available in the provided data.,https://www.indeed.com/,"Indeed is the world's #1 job site and a global leader in job matching and hiring, operating in over 60 countries. It offers powerful tools for job seekers to search jobs, post resumes, and research companies, and helps employers find the right talent through AI-driven solutions.","Indeed is building innovative AI-driven hiring solutions to simplify and accelerate the hiring process, serving tens of millions of job seekers and millions of employers worldwide. The company is committed to putting job seekers first and shaping a future of work that is accessible to all.",Public company (subsidiary of Recruit Holdings),,
Grégoire,Peiron,"Director, France Startups and Digital Natives",Google Cloud,Established,,"No specific information about Grégoire Peiron, Director, France Startups and Digital Natives at Google Cloud, is available in the provided data.",https://cloud.google.com/,"Google Cloud is a suite of cloud computing services offered by Google, including computing, data storage, data analytics, machine learning, and management tools. It runs on the same infrastructure that Google uses internally for its products like Google Search and Gmail.","Google Cloud is building and working toward providing scalable, secure, and advanced cloud computing services including AI and machine learning platforms, data analytics, and infrastructure solutions. It serves a wide range of customers from startups to global enterprises, helping them build, deploy, and scale applications efficiently.",Public company,,
Euro,Beinat,Global Head of AI,Prosus,Public,,Euro Beinat is the Global Head of AI at Prosus. His role likely involves leading AI initiatives and integrating AI technologies across Prosus's diverse portfolio to drive innovation and operational efficiency.,https://www.prosus.com,"Prosus is a global consumer internet group and one of the largest technology investors in the world. It operates and invests in leading consumer internet companies across sectors such as social networking, gaming, classifieds, payments, fintech, education technology, food delivery, real estate listings, and ecommerce, serving over 1.5 billion people in 89 markets.","Prosus is building and investing in leading lifestyle e-commerce ecosystems in high-growth markets including Europe, India, and Latin America. The company focuses on an AI-first approach to foster growth, systematically exploring and deploying emerging technologies like generative AI. It aims to empower people and enrich communities by creating sustainable value through consumer internet companies that address big societal needs.",Public company,Prosus is publicly listed on Euronext Amsterdam since September 2019; it leads significant funding rounds in portfolio companies such as a €480 million round in Alan in 2026 and $240 million in Rapido in 2025.,"Naspers (majority shareholder), SoftBank Vision Fund, Goldman Sachs, Tencent"
Doris,Birkhofer,President,Siemens France,Public,https://www.linkedin.com/in/doris-birkhofer,"Doris Birkhofer is President and CEO of Siemens France, BeLux, and Maghreb since October 2021, and CEO of Siemens Smart Infrastructure France & BeLux. She has over 25 years of experience in industry and high-tech sectors, with previous leadership roles at Arconic France and Alcoa, and is active in promoting diversity and inclusion in STEM fields.",https://www.siemens.com/fr-fr,"Siemens France is a leading technology company operating in industrial, infrastructure, transport, and healthcare sectors with over 6,000 employees, 4 industrial sites, and 23 engineering sites including R&D centers. It is part of Siemens AG, a global technology leader.","Siemens France focuses on merging the real and digital worlds to address major societal challenges in industry, infrastructure, and transport. It aims to create intelligent, resilient, decarbonized, and competitive environments, serving strategic sectors of French industry and contributing to sustainability and digital transformation.",Public company,,
Denis,Skrinnikoff,Chief Technology Officer,IREN,Tier 0,https://www.linkedin.com/in/denis-skrinnikoff,"Denis Skrinnikoff is the Chief Technology Officer at IREN with over 20 years of experience in cloud and data center service provider industries. He has a strong background in networking, enterprise architecture, and has managed Tier 3 data centers and business units. Prior to IREN, he held senior technology roles at TeraGo and RackForce Networks.",https://iren.com/,"IREN Limited operates vertically integrated data centers in Australia, Canada, and the US, focusing on Bitcoin mining and AI cloud infrastructure powered by renewable energy. The company designs, owns, and operates its data centers and electrical infrastructure, serving clients with high-performance compute workloads including AI training and inference.","IREN is building next-generation data centers optimized for AI, HPC, and sustainable compute, aiming to serve a broad customer base including hyperscalers, frontier labs, and enterprises needing managed AI infrastructure. It focuses on expanding GPU capacity and power supply to support AI cloud services and Bitcoin mining, with large contracts from Microsoft and Nvidia.",Approximately $6.56 billion raised including $3.65 billion GPU financing and $3.0 billion convertible notes; public company listed on Nasdaq.,"$3.65 billion investment-grade GPU financing facility in 2026, plus $3.0 billion private offering of convertible senior notes due 2033.","Sanctuary Advisors LLC, Centaurus Financial Inc., Miller Wealth Advisors LLC, Global Retirement Partners LLC, SLT Holdings LLC"
David,Flynn,CEO,Hammerspace,Tier 1,https://www.linkedin.com/in/david-flynn-57736b1,"David Flynn is the co-founder and CEO of Hammerspace. He previously founded Fusion-Io, serving as its technical founder, CTO, and CEO until 2013, pioneering flash storage use in enterprise application acceleration. He also has experience as Chief Architect at Linux Networx.",https://hammerspace.com/,"Hammerspace provides a high-performance data orchestration platform that creates a Global Data Environment, enabling enterprises to access and manage unstructured data seamlessly across on-premises data centers, public clouds, and edge infrastructures. It unifies unstructured data across edge, data centers, and clouds, providing extreme parallel performance for AI, GPUs, and high-speed data analytics.","Hammerspace is building a data platform for AI anywhere that eliminates data access delays and unlocks the full value of data wherever it resides. It aims to unify data estates by creating a single multi-protocol global namespace spanning all storage locations, enabling AI and high-performance computing workloads to access data efficiently without proprietary clients. The company serves enterprise IT, high-performance computing, AI infrastructure sectors, and large organizations needing seamless data orchestration across hybrid and multi-cloud environments.",$157 million,$100 million Series B in April 2025,"Altimeter Capital, ARK Invest, Prosperity7 Ventures, Pier 88 Ventures, Saudi Aramco"
Dave,Treat,CTO,Pearson,Public,,,https://www.pearson.com,"Pearson is the world's leading learning company, supporting learning for every stage of life — in school, at university, and at work. It offers digital content, assessments, qualifications, and data to students, educators, and businesses.","Pearson is building and growing digital-first, flexible, and affordable learning solutions to help students, educators, and businesses make progress toward their personal and professional goals. It serves learners of all ages across nearly 200 countries.",Public company,,
George,Nazi,CEO,SCAI,Public,https://www.linkedin.com/in/george-nazi,"George Nazi is the CEO of the Saudi Company for Artificial Intelligence (SCAI) since June 2024. He has over 30 years of experience in AI, TMT, and cloud industries, with previous senior roles at Google Cloud, Accenture, Alcatel-Lucent, and British Telecom. He holds bachelor's and master's degrees in electrical engineering specializing in AI and neural networks from the University of Tulsa.",https://scai.sa/,"SCAI (Saudi Company for Artificial Intelligence) is a wholly owned subsidiary of the Public Investment Fund (PIF) of Saudi Arabia. It focuses on delivering end-to-end AI and emerging technology solutions across various sectors including smart cities, energy, healthcare, and financial services. SCAI aims to position Saudi Arabia as a global AI leader and supports the Vision 2030 goals.","SCAI is building innovative AI solutions and platforms to transform Saudi Arabia into a global hub for AI and emerging technologies. It serves businesses and consumers in prioritized sectors such as smart cities, healthcare, energy, and financial services. The company is working toward creating a world-class technology ecosystem that drives economic growth and improves quality of life aligned with Vision 2030.",Public company (wholly owned by Saudi Public Investment Fund),,Public Investment Fund (PIF)
Daniel,Thomas,Head of Product Strategy,ThirdBridge,Investor,https://www.linkedin.com/in/dan-thomas-61ab1b9a/,"Daniel Thomas is the Head of Product Strategy at Third Bridge Group Limited, based in London. He has experience overseeing product strategy and supporting clients and partners in executing strategic plans. He studied at Durham University and has over 500 connections on LinkedIn.",https://www.thirdbridge.com/en-us,"Third Bridge is a market-leading global investment research firm that provides unique, human-led insights to some of the world’s largest hedge funds, mutual funds, private equity funds, and management consultancies. It offers expert insights and research to help investors and business leaders make better decisions, including access to expert networks, consultations, and a research library.","Third Bridge is building a comprehensive platform that provides market-moving insights and expert transcripts to help clients ask better questions during due diligence and make more informed investment decisions. It serves private equity funds, hedge funds, mutual funds, and management consultancies globally, aiming to deliver nuanced, human insights across sectors and geographies.",Unknown,"Private Equity round on January 14, 2021","Astorg, IK Partners, Beringea"
Greg,Matson,"Head of Marketing, Business and Product Strategy Leader",Solidigm,Tier 3,https://www.linkedin.com/in/greg-matson-102b12,"Greg Matson is the SVP, Head of Products and Marketing at Solidigm with over 20 years of experience in the memory industry, including NAND, NOR, MRAM, and 3D XPoint technologies. He previously held leadership roles at Intel, where he shaped business and product strategy for data center SSDs, and also led marketing at Avalanche Technology and co-founded ConGo Technology.",https://www.solidigm.com,"Solidigm is a pioneer in enterprise data storage, specializing in innovative NAND flash memory solutions and solid-state drives (SSDs) for data centers. Headquartered in Rancho Cordova, California, it operates globally as a standalone subsidiary of SK hynix Inc., focusing on AI and data-centric storage technologies.","Solidigm is building advanced SSD products optimized for AI workloads and data centers, including the world's first liquid-cooled SSD for fanless GPU systems and the highest capacity SSDs. The company aims to enable high efficiency, density, and performance in storage to support AI infrastructure and data-centric computing, serving enterprise and cloud data center customers worldwide.",Unknown,,SK hynix Inc.
Kevin,Cochrane,Chief Marketing Officer,Vultr,Tier 0,https://www.linkedin.com/in/kevinvcochrane/,"Kevin Cochrane is a 25+ year pioneer in the digital marketing and digital experience space. He is currently the Chief Marketing Officer at Vultr, where he is working to build Vultr's global brand presence as a leader in the independent Cloud platform market.",https://www.vultr.com,"Vultr is a cloud infrastructure company that provides high-performance cloud computing services, including virtual private servers, cloud storage, and networking solutions.","Vultr is building and working toward making high-performance cloud infrastructure easy to use, affordable, and locally accessible for enterprises and AI innovators around the world.",Unknown,,
