company,tier,amount_usd,total_funding,latest_round,key_investors,people,cohorts,company_info,homepage
Adapa Group,Tier 1,315000000,"Private company, raised approximately €315 million in debt restructuring with Apollo-backed investors; total equity funding details not publicly disclosed.",Apollo and a consortium of credit investors assumed control in 2022 via a debt-for-equity transaction; currently in talks to restructure €315 million in debt.,Apollo Global Management and a consortium of credit investors,2,registrants,"Adapa Group is a leading European supplier of innovative, high-quality, and customized high-barrier flexible packaging solutions. Headquartered in Wiener Neudorf, Austria, it serves industries including food, aroma protection, hygiene, pharmaceutical, tobacco, home & personal care, and healthcare. The company operates an integrated value chain from raw material sourcing to extrusion, printing, and converting, with around 2,000 employees across 20 specialized sites in Europe.",https://www.adapa-group.com/
Spendesk,Tier 1,311850000,$311.85 million,"Series C - $114M, 2022-02-18","General Atlantic, Index Ventures, Eight Roads Ventures, Tiger Global Management, Kima Ventures, FundersClub",1,registrants,"Spendesk is a smart spend management software designed for both finance teams and employees, offering an all-in-one platform for corporate spending. It combines prepaid cards, expense management, invoice processing, and approval workflows into a single system.",https://spendesk.com
Enigma lôve,Tier 1,310000000,$310M,,"BancBoston Ventures, GE Capital, Parameter Ventures, Shasta Ventures Management, Trajectory Capital",2,registrants,"Enigma is a culturally influential music project founded by Michael Cretu in 1990, known for selling over 70 million records and receiving numerous awards worldwide. It is recognized for its groundbreaking music and artistic contributions.",https://www.enigmaspace.com/
Zego,Tier 1,310000000,$310 million,"Series C round on April 16, 2026 for $28 million","Balderton Capital, DST Global, Target Global, Sompo Holdings",1,registrants,"Zego is a London-based insurtech company founded in 2016 that provides flexible, usage-based motor insurance policies for drivers, delivery riders, and fleet operators. It focuses on simplifying insurance processes, offering competitive pricing, and leveraging data-driven insights to serve a diverse customer base including gig economy workers and businesses with vehicle fleets.",https://www.zego.com
Next Silicon,Tier 1,303000000,$303 million,"Series C round of $120 million on June 6, 2021","Third Point Ventures, Liberty Venture Partners, Playground Global, Aleph, Amiti Ventures, Yuval Ariav, Schusterman Family Investments",1,speakers,"NextSilicon is a deep tech company developing next-generation intelligent compute architecture and software-defined hardware acceleration solutions for HPC, AI, and vector database workloads. Founded in 2017 and based in Israel, it offers products like the Maverick-2 dataflow accelerator and Arbel RISC-V processors, enabling adaptable hardware acceleration without code rewrites or vendor lock-in.",https://www.nextsilicon.com
Kami Wind Consult,Tier 1,300000000,$300M,"Private Equity round, amount undisclosed, 2024","BV Investment Partners, Boston Ventures, Arm Accelerator, Hong Kong X-Tech Startup Platform, For Good Ventures, Peregrine Capital Management, Right Click Capital, CapitalPitch, Flying Kiwi Angels, New Zealand Venture Investment Fund, Sam Altman",1,registrants,"Kami Wind Consult is a consulting services company focused on offshore wind and the energy transition, founded in 2025 and headquartered in Paris, France.",
Matterlyt,Tier 1,300000000,$300M,"Inaugural fund, $300 million, 2023","Kleiner Perkins, TSMC, Wen Hsieh, Haomiao Huang",1,registrants,Matterlyt is a company founded by Sebastian Galonska that focuses on helping non-technical founders hire developers and rescue broken projects. It addresses the challenge founders face in knowing whether their codebases are solid or not.,
Okta,Tier 1,300000000,$228M over 8 rounds,"Post IPO round of $300M on February 21, 2018","Glynn Capital, Scheuermann Investment, Sequoia Capital, Andreessen Horowitz, Greylock Partners, Khosla Ventures",8,"registrants,speakers","Okta is a provider of cloud-based identity management solutions that secure user authentication for enterprises, customers, and AI. Founded in 2009, it offers products like single sign-on, multi-factor authentication, API access management, and identity governance to connect and protect employees, partners, and customers.",https://www.okta.com/
Periodic Labs,Tier 1,300000000,$300 million,Seed round of $300 million in September 2025,"Andreessen Horowitz, Nvidia, Accel, DST, Elad Gil, Jeff Dean, Eric Schmidt, Jeff Bezos",1,speakers,Periodic Labs develops artificial intelligence systems and autonomous laboratories that conduct experiments and generate data for material discovery and scientific research in physical sciences such as physics and chemistry. The company integrates AI models with robotic lab systems to accelerate scientific discovery and innovation.,https://periodic.com/
Liquid AI,Tier 1,297000000,$297M,"Series A - $250M - December 13, 2024","AMD, OSS Capital, Duke Capital Partners, PagsGroup, Breyer Capital",4,"registrants,speakers","Liquid AI, an MIT spin-off, is a foundation model company headquartered in Boston, Massachusetts. The company develops Liquid Foundation Models (LFMs), a new generation of lightweight, general-purpose AI models designed for on-device, edge, and cloud deployment.",https://www.liquid.ai/
StarkWare,Tier 1,287000000,$287 million,"Series D, $100 million, March 11, 2022","Greenoaks, Coatue, Sequoia Capital, Paradigm, Pantera, Founders Fund, DCVC, Wing, Floodgate, Intel Capital, Atomico, ConsenSys, Multicoin, Polychain, Naval Ravikant",2,registrants,"StarkWare is an Israeli software company specializing in cryptography and zero-knowledge proof technology to solve blockchain scalability, security, and privacy challenges. It develops products like StarkEx and StarkNet to enable scalable decentralized applications and blockchain infrastructure.",https://starkware.co/
Wonderful,Tier 1,286000000,$286 million,"Series B, $150 million",,5,"registrants,speakers","Wonderful is an enterprise AI platform company that provides AI-powered automation solutions for customer interactions. Founded recently, it operates globally across 30 countries, focusing on accelerating AI adoption in critical organizations.",https://www.wonderful.ai/
Wonderful AI,Tier 1,284000000,$284 million,"Series B, $150 million, March 2026","Insight Partners, Index Ventures, IVP, Bessemer Venture Partners, Vine Ventures",1,registrants,"Wonderful is an enterprise AI agent platform founded in 2025 that develops software for deploying artificial intelligence agents in business operations and customer interactions. Their AI agents communicate through voice, chat, and email, integrating with internal enterprise systems and workflows, supporting multilingual and culturally adapted interactions.",https://www.wonderful.ai/
Wonderland AI Ltd,Tier 1,284000000,$284M,"Series B, $150M, March 12, 2026","Index Ventures, Insight Partners, IVP, Bessemer Venture Partners, Vine Ventures",1,registrants,"Wonderland AI is an AI training, consultancy, and automation company based in the UK, helping businesses navigate AI adoption through education, auditing, and implementation services.",https://thewonderland.ai/
Anyscale (Ray),Tier 1,281000000,$281 million,"Series C, $99 million, August 23, 2022","Andreessen Horowitz, New Enterprise Associates, Addition, Intel Capital, Foundation Capital",1,registrants,"Anyscale is an AI infrastructure company founded in 2019, providing an open-source framework called Ray for building and running scalable, distributed AI and Python applications. It simplifies complex computing projects by enabling scalable, reliable, and flexible AI-native development for enterprises and researchers.",https://www.anyscale.com
OVCHCloud,Tier 1,279000000,$279M,"Debt round of $60.9K on Dec 22, 2020","Societe Generale, JPMorgan Chase",1,registrants,"OVHcloud, legally OVH Groupe SA, is a French cloud computing company founded in 1999 by the Klaba family and headquartered in Roubaix, France. It offers VPS, dedicated servers, and other web services, positioning itself as a leading European cloud provider and a European alternative to Microsoft, AWS, and Google.",https://www.ovhcloud.com
OVHcloud,Tier 1,279000000,$279 million over 6 rounds,"Grant (prize money) round on Dec 22, 2020 for $60.9K","Societe Generale, JPMorgan Chase, European Investment Bank, CIC Nord Ouest",2,registrants,"OVHcloud is a French cloud computing company founded in 1999, offering VPS, dedicated servers, and other web services. It operates globally with over 450,000 servers in 46 data centers across 4 continents, serving 1.6 million customers in over 140 countries. OVHcloud designs its own servers, operates its own fiber-optic network, and manages its own data centers.",https://www.ovhcloud.com/
TaskUs,Tier 1,279000000,"TaskUs has raised approximately $279 million over 7 rounds, including a significant investment from Blackstone, which acquired a majority stake. The company went public with an IPO in June 2021.","The latest funding round was an acquisition pending round on May 9, 2025, with Blackstone as an investor.","Blackstone Group, Navegar, Bridge Bank",2,registrants,"TaskUs is a global provider of outsourced digital services and next-generation customer experience to fast-growing technology companies. Founded in 2008, it offers services including customer experience, content security, AI and data operations, and more, serving clients in sectors like social media, e-commerce, gaming, streaming media, food delivery, and ridesharing.",https://www.taskus.com
Zoom,Tier 1,276000000,$276 million,,"Sequoia Capital, Qualcomm Ventures, Emergence Capital, ADS Ventures",2,registrants,"Zoom is an online audio and video conferencing tool that helps people stay connected. It offers a comprehensive communications platform including video, voice, chat, and content sharing, available on multiple platforms.",https://www.zoom.com
ZENBAIA,Tier 1,275000000,$275M,"Series C, $200M, November 8, 2021","SoftBank Vision Fund, Oak HC/FT, Recruit Strategic Partners, Lerer Hippeau",1,registrants,"Zenbaia is a SaaS platform that enables businesses to create and deploy custom AI agents for various commercial functions such as marketing, sales, human resources, finance, and procurement. The platform offers a library of customizable AI agents accessible without coding.",https://zenbaia.com
Cast AI,Tier 1,272000000,$272M,"Strategic Investment, Undisclosed amount, January 2026","Pacific Alliance Ventures, G2 Venture Partners, SoftBank Vision Fund 2, Aglaé Ventures, Creandum, Vintage Investment Partners, Cota Capital, Uncorrelated Ventures, Hedosophia",2,registrants,"Cast AI is a cloud management and automation platform designed for Kubernetes optimization, security, and cost management. The platform automatically scales, rightsizes, and rebalances cloud infrastructure in real time to reduce cloud costs by over 50%.",https://cast.ai/
Kimchi.dev by CAST AI,Tier 1,272000000,"Cast AI, the company behind Kimchi.dev, has raised a total of $272M over 12 rounds.","Series C round on January 2, 2026, amount undisclosed, with participation from 1 investor.",Pacific Alliance Ventures,1,registrants,"Kimchi.dev by CAST AI is an AI-powered coding platform that provides an autonomous multi-model coding agent. It integrates multiple AI models to optimize coding tasks, offering cost-efficient, accurate code generation with budget governance and real-time FinOps dashboards.",https://kimchi.dev/
CAA,Tier 1,263000000,"$263M total funding over 3 rounds, acquired by Groupe Artemis in 2023","Private Equity round on September 26, 2017",Groupe Artemis,1,registrants,"Creative Artists Agency (CAA) is a leading entertainment and sports agency based in Los Angeles, California. It represents talent across film, television, music, sports, digital media, and more, providing services such as talent endorsements, live event booking, digital media consulting, and brand management.",https://www.caa.com/
Fractile,Tier 1,260000000,$260M,"Series B, $220 million, May 13, 2026","Accel, Factorial Funds, Founders Fund, Conviction, Gigascale, O1A, Felicis, Buckley Ventures, 8VC, Kindred Capital, NATO Innovation Fund, Oxford Science Enterprises, Cocoa, Inovia Capital, Pat Gelsinger, Hermann Hauser, Stan Boland, Amar Shah",2,"registrants,speakers",Fractile is a UK-based semiconductor startup that designs and develops advanced AI chips and hardware systems specifically optimized for AI model inference. The company's technology aims to eliminate memory-bandwidth bottlenecks by physically interleaving memory and compute on the same die.,https://www.fractile.ai/
Mirantis,Tier 1,257000000,$220M to $257M (varied sources report between $220M and $257M),"Venture Debt round of $35M on October 11, 2023","Insight Partners, Intel Capital, WestSummit Capital, August Capital, Sapphire Ventures, Engineering Capital, Falcon Peak Capital",11,"registrants,speakers","Mirantis is a cloud computing company that provides open cloud infrastructure software to enterprises using OpenStack, Kubernetes, Spinnaker, and related open-source technologies. The company offers container cloud, Kubernetes engine, and cloud platform solutions.",https://www.mirantis.com
Fundamental,Tier 1,255000000,$255 million,Series A of $225 million in February 2026,"Oak HC/FT, Valor Equity Partners, Battery Ventures, Salesforce Ventures, Hetz Ventures, Aravind Srinivas, Assaf Rappaport, Henrique Dubugras, Olivier Pomel",4,"registrants,speakers","Fundamental is an artificial intelligence company that builds foundation models purpose-built for enterprise data. The company specializes in Large Tabular Models (LTMs) designed to unlock predictive intelligence directly from massive, structured corporate databases and spreadsheets.",https://fundamental.tech/
COUCHBASE FRANCE,Tier 1,251000000,$251M,"Series G round of $105M on May 21, 2020","HTIF, HighGear Ventures, GPI Capital, Adams Street Partners",1,registrants,"Couchbase France is a subsidiary of Couchbase, Inc., which specializes in the creation, design, and commercialization of computer software, databases, and internet applications. It provides a distributed, JSON-native NoSQL cloud database platform designed to handle transactional, analytical, mobile, and AI workloads.",https://www.couchbase.com/fr/
Exa Labs,Tier 1,250000000,$250 million (Series C),"Series C - $250 million, May 2026","Andreessen Horowitz, Benchmark, NVIDIA, Y Combinator",1,registrants,"Exa is an applied AI lab building an AI-powered search engine specifically designed for artificial intelligence applications, offering a suite of search services and APIs for AI developers and enterprises.",https://exa.ai/
Intercom/Fin,Tier 1,250000000,$242 million,Conventional Debt round for $250 million in March 2026,"Bessemer Venture Partners, ICONIQ Growth, Kleiner Perkins, Index Ventures, Social Capital",1,registrants,"Fin, formerly known as Intercom, is a software company providing an AI-driven customer service and messaging platform. It integrates live chat, chatbot automation, a help desk ticketing system, and a customer data platform to deliver personalized and efficient customer support.",https://www.intercom.com/
QERA,Tier 1,247000000,$247M,"Series B, $230M, September 2025","SoftBank Vision Fund, Google Quantum AI, NVentures, Day One Ventures, QVT Family Office",1,registrants,"QERA is a boutique strategy and research advisory venture working at the intersection of AI, quantum technologies, and societal governance. The firm bridges frontier technologies with ethical frameworks and value-driven approaches to enable sustainable business transformation.",https://www.qera-group.com
Furiosa AI,Tier 1,246000000,$246 million,"Series C, $125 million","Korea Development Bank, Industrial Bank of Korea, Keistone Partners, PI Partners, Kakao Investment",1,registrants,"Furiosa AI is a fabless semiconductor company that designs and develops high-performance, energy-efficient AI accelerators and NPUs optimized for AI model inference in data centers. The company co-designs its hardware and software stack to deliver superior performance-per-watt compared to general-purpose GPUs.",https://furiosa.ai/
Transdev,Tier 1,243000000,"Private company, total funding raised approximately $243 million","Latest funding round was a Seed round on February 27, 2024","Caisse des Dépôts, Rethmann Group, Cube Infrastructure Managers",1,registrants,"Transdev is a France-based international private-sector company operating public transport in 19 countries. It transports an average of 12.8 to 14 million passengers daily across various modes including bus, tram, train, ferry, and shared mobility. The company employs over 105,000 people and is a world leader in public transportation, committed to ecological transition and innovative, sustainable mobility solutions.",https://www.transdev.com/en/
n8n,Tier 1,240000000,$240 million total funding,"Series C funding of $180 million raised in October 2025, led by Accel with participation from Meritech, Redpoint, Evantic, Visionaries Club, NVentures, and T.Capital","Accel, Meritech, Redpoint, Evantic, Visionaries Club, NVentures, T.Capital, Sequoia Capital, Felicis Ventures, Firstminute Capital, Harpoon Ventures, Highland Europe, HV Capital",2,"registrants,speakers","n8n GmbH, founded in 2019 in Berlin by Jan Oberhauser, provides a workflow automation platform that combines AI capabilities with business process automation. The platform offers a visual node-based editor supporting over 350 applications, enabling both self-hosted and cloud services.",https://n8n.io/
relticc GmbH,Tier 1,237000000,$237M,"Series E, $120M, Nov 04, 2021","Brighton Park Capital, New Enterprise Associates, .406 Ventures, Sapphire Ventures, Crosslink Capital, NewView Capital, RPS Ventures",1,registrants,"relticc GmbH, founded in 2024 in Kaiserslautern, Germany, specializes in high-end experiences for marketing, providing interactive and personalized 3D visualizations.",https://relticc.com/
Pindrop,Tier 1,232000000,$232M,"Venture Debt round of $100M on July 17, 2024","Hercules Capital, Cross Creek, Vitruvian Partners, Allegion Ventures, Dimension Data, EDBI, Goldman Sachs, CapitalG, IVP, Andreessen Horowitz, GV, Citi Ventures",2,"registrants,speakers","Pindrop is a leader in voice security, biometrics, and authentication technology. The company uses advanced voice biometrics and sound characteristics to detect phone-based fraud, verify identity, and secure voice-activated devices.",https://www.pindrop.com
Parallel Web Systems,Tier 1,230000000,$230 million,"Series B - $100 million, April 2026","Sequoia Capital, Kleiner Perkins, Index Ventures, Khosla Ventures, First Round Capital, Spark Capital, Terrain Capital",2,speakers,"Parallel Web Systems develops web search and research APIs specifically for AI agents, enabling AI systems to access and process live, accurate web data.",https://parallel.ai
Deepgram,Tier 1,229000000,$229M,"Series C, $130 million, January 13, 2026","AVP, Alkeon, In-Q-Tel, Madrona, Tiger Global Management, Wing Venture Capital, Y Combinator, BlackRock, Nvidia, Twilio, SAP",3,registrants,"Deepgram is a foundational AI company that provides a real-time voice artificial intelligence platform. It offers developer-accessible APIs for speech-to-text transcription, text-to-speech generation, and building voice-enabled applications.",https://deepgram.com
JFrog,Tier 1,226000000,$226 Million,"Series D, $165M, October 2018","Insight Partners, Spark Capital, Geodesic Capital, Battery Ventures, Sapphire Ventures, Scale Venture Partners, Dell Technologies Capital, Vintage Investment Partners, Gemini Israel Ventures, Qumra Capital, VMware",2,registrants,"JFrog provides an end-to-end software supply chain platform that enables DevOps, DevSecOps, and MLOps automation and security. Its core product, JFrog Artifactory, serves as a universal repository and single source of truth for managing software packages, binaries, and artifacts.",https://jfrog.com
IO-AI Tech,Tier 1,225000000,$225 million,"2024, $225 million venture round","Sutter Hill Ventures, Emerson Collective, SV Angel, Maverick Ventures, Thrive Capital, OpenAI Startup Fund",1,registrants,"IO-AI Tech is a global leader in real-world robotics and embodied AI data solutions. Founded in May 2023, the company offers comprehensive services from data collection, processing, and annotation to model training and deployment.",https://io-ai.tech/en/
MACHINA,Tier 1,223000000,$223M,"Series C, $124 million, February 04, 2026","Woven Capital, Toyota's growth-stage venture arm, Lockheed Martin Ventures, Balerion Space Ventures, Strategic Development Fund (SDF), NVentures (NVIDIA's venture capital arm), Innovation Endeavors",1,registrants,"MACHINA (Machina Labs) is an advanced manufacturing and robotics company that builds and operates software-defined elastic factories. The company utilizes AI, machine learning, and robotics to automate metal forming and fabrication processes, allowing for rapid production of complex metal structures without custom tooling.",https://machinalabs.ai/
NIMBLE,Tier 1,221000000,$221 million,"Series C round of $106 million on September 6, 2024","FedEx, Accel, Breyer Capital, Norwest, Databricks Ventures, Square Peg, Target Global, Hetz Ventures, Slow Ventures, R-Squared Ventures, J-Ventures, InvestInData",1,registrants,"Nimble builds a live web data layer that enterprise AI agents use to operate effectively in production. Their platform uses AI agents to search, verify, and structure real-time web data into clean tables that integrate with enterprise data infrastructure like Databricks, Snowflake, AWS, and Microsoft. Nimble serves large enterprises including Fortune 500 and Fortune 10 companies across retail, finance, and consumer goods sectors.",https://www.nimbleway.com/
H Company,Tier 1,220000000,$220 million (seed round in 2024),Seed round - $220 million in May 2024,"Accel, Rich Wong, Philippe Botteri",11,"registrants,speakers","H Company, formerly known as Holistic AI, is a French artificial intelligence firm that develops 'agentic AI' models designed to automate tasks and enhance worker productivity.",https://hcompany.ai/
Sentry,Tier 1,217000000,$217 million,"Series E, $90 million, May 4, 2022","Accel, New Enterprise Associates (NEA), Bond Capital, K5 Global",8,"registrants,speakers","Sentry is a provider of application performance monitoring and error tracking software solutions. It helps developers identify, prioritize, and fix software errors in real time, improving software reliability and developer productivity.",https://sentry.io
Sentry Software Netherlands B.V.,Tier 1,217000000,$217M,"Series E, $90M, May 04, 2022","Accel, Bond Capital, New Enterprise Associates, K5 Global, Draper Associates, Salesforce Ventures, The Pay It Forward Company",1,registrants,"Sentry Software Netherlands B.V. is a provider of infrastructure monitoring solutions for hardware, storage, and applications. Founded in 2004 and based in the Netherlands, the company delivers powerful and easy-to-use monitoring solutions, including tools for managing storage capacity, streaming metrics, and unifying infrastructure monitoring. It serves large organizations worldwide and focuses on sustainable IT and reducing the carbon footprint of IT infrastructure.",https://www.sentrysoftware.com/
Qualia,Tier 1,207000000,$207M,"Series D, $65M, December 2020","Tiger Global Management, Menlo Ventures, 8VC, WestCap, ASBC, Wave Ventures, Wormhole Capital, 9Yards Capital Management, Formation 8",1,registrants,"Qualia is a European technology company that builds training infrastructure and platforms for robotic foundation models. It operates as a partner in Europe for advanced AI teams, focusing on physical AI and the intersection of foundation models and robotics.",https://qualiastudios.dev
Float,Tier 1,205000000,$205M,"Series C, $85M, 2026","Inovia Capital, Goldman Sachs Growth Equity, OMERS Ventures, FJ Labs, Teralys Capital, Garage Capital",1,registrants,,
Braintrust,Tier 1,203500000,$203.5M,Series B - $80M raised in February 2026,"ICONIQ Capital, Andreessen Horowitz, Greylock, Elad Gil, Basecase Capital",1,speakers,"Braintrust is an AI observability platform designed specifically for teams building and scaling AI products in production. It provides engineering and product teams with tools to monitor, understand, and ensure the reliability of AI models in production.",https://www.braintrust.dev/
Hayat Kimya,Tier 1,200000000,$200 million,"Debt financing round of $200 million on October 18, 2018",KFW DEG,1,registrants,"Hayat Kimya is a Turkish manufacturer specializing in hygiene, tissue, and home care products. It operates 21 production facilities across 8 countries with a workforce of around 9,000 people and markets its products globally under 15 powerful brands.",https://www.hayat.com/en-tr/
Huuuuge Games,Tier 1,200000000,"$200M total funding raised, including a $150M IPO in February 2021","IPO on February 5, 2021, raising $150M","Korea Investment Partners, Woori Technology Investment",1,registrants,"Huuuge Games is a global game developer and publisher specializing in free-to-play mobile games with real-time social experiences. Founded in 2014 and based in Warsaw, Poland, it focuses on social casino games like Huuuge Casino and Billionaire Casino, offering multiplayer social gaming platforms.",https://huuugegames.com/
stc Group,Tier 1,200000000,$200M,"Series D, $200M, Nov 22, 2020","Western Union, European Union",1,registrants,"stc Group is a digital enabler headquartered in Riyadh, Saudi Arabia, established in 1998, focused on driving digital transformation in the Kingdom and the wider region by offering best-in-class digital solutions and services to enrich people's lives.",https://www.stc.com/
Verda,Tier 1,200000000,Around $200 million,April 2026 round of $117 million (€100 million) in combined equity and debt financing,"Lifeline Ventures, byFounders, Tesi, Varma, J12 Ventures, Skaala",2,registrants,"Verda (formerly DataCrunch) is a Helsinki-based AI cloud infrastructure company that builds cloud systems for machine learning workloads. The company operates a vertically integrated platform providing GPU-based compute for training and running AI models, managing everything from physical servers and data centers to software tools.",https://verda.com/
Verda Cloud,Tier 1,200000000,Approximately $200 million,"$117 million equity and debt round in April 2026 led by Lifeline Ventures with participation from byFounders, Tesi, Varma, and Nordic financial institutions","Lifeline Ventures, byFounders, Tesi, Varma, Nordic financial institutions",1,registrants,"Verda is a Helsinki-based AI cloud infrastructure company that provides vertically integrated GPU cloud infrastructure, including data centers, servers, and developer tools, powered by 100% renewable energy. It offers on-demand access to high-performance computing for AI training and inference, serving developers and enterprises globally with a focus on reducing friction in cloud procurement.",https://verda.com
Alice,Tier 1,198000000,$198M,Unknown,"Allen & Company of Florida, Globo Ventures, G Squared, Luxor Group, Next Billion Ventures",12,"registrants,speakers","Alice is a health insurance company for businesses in Brazil, providing national coverage with access to top hospitals, laboratories, and specialists. It offers a technology-driven healthcare system focused on primary care, delivering personalized, data-driven longitudinal care with a superior user experience and lower market adjustments.",https://alice.com.br
Le Figaro,Tier 1,198000000,Société du Figaro has raised approximately $198 million in total funding.,,Dassault Group,1,registrants,"Le Figaro is the oldest national daily newspaper in France, founded in 1826. It is a leading French newspaper of record, covering a wide range of topics including politics, economy, sport, science, medicine, and the arts. It operates both print and digital platforms and is part of Groupe Figaro, owned by Dassault Group.",https://www.lefigaro.fr
Urban Sports Club,Tier 1,198000000,Approximately $198 million over 6 rounds,"Series C round of $103 million on December 14, 2023","Rocket Internet, Verdane, HV Capital, ProSiebenSat.1, Wellhub, Qualitas Funds, Leading European Tech Scaleups",2,cxo,"Urban Sports Club is a subscription-based sports and wellness platform headquartered in Berlin, Germany. It offers access to over 50 types of sports and wellness activities through a network of more than 10,000 partner venues across several European countries. The platform serves both individual customers and companies by providing flexible sports and wellness memberships that include on-site, outdoor, and online options.",https://urbansportsclub.com/en/
Apna Coding,Tier 1,194000000,$194M,"Series C, $100M, Sep 15, 2021","Tiger Global Management, Insight Partners, Peak XV Partners, Lightspeed India, Sequoia Capital India, GSV Ventures, Maverick Ventures, Owl Ventures",1,registrants,"Apna Coding is a global coding and tech community that empowers students and coders worldwide by providing AI tools, coding resources, hackathons, verified job and internship opportunities, and monthly tech subscriptions. It serves as a platform for collaboration, learning, and career advancement in technology.",
Air Liquide,Tier 1,192000000,Over 53 rounds from 6 investors,"Grant (prize money) round on Jul 04, 2024 for $192M","Societe Generale, Federal Ministry for Economic Affairs and Energy",3,"cxo,registrants","Air Liquide is a French multinational company that supplies industrial gases, technologies, and services for industry and healthcare, serving 4.3 million customers and patients across 59 countries.",https://www.airliquide.com
Dashlane,Tier 1,192000000,$192M,"Series D, $110M, May 30, 2019","Sequoia Capital, Bessemer Venture Partners, Rho Ventures, FirstMark Capital, Hercules Capital, SVB Capital, SVB Financial Group",3,registrants,Dashlane is a cybersecurity company that provides password management and security technology solutions.,https://www.dashlane.com
Granola,Tier 1,192000000,$192M,"Series C - $125M on March 25, 2026","Index Ventures, Kleiner Perkins, Lightspeed Venture Partners, Spark Capital, NFDG",2,registrants,"Granola is an AI-powered meeting note-taking platform that transcribes calls and meetings without dropping a bot into the call, and generates summarized notes. It sits in the background on devices like iPhones and MacBooks, offering smart summaries of conversations.",https://www.granola.ai
Immersive,Tier 1,189000000,$189 million,,"Insight Partners, Summit Partners, Goldman Sachs",1,registrants,"Immersive (formerly Immersive Labs) is a British cybersecurity company that provides a people-centric cyber resilience platform. Founded in 2017 by James Hadley in Bristol, United Kingdom, the company offers hands-on cybersecurity training, crisis simulations, and cyber drills for enterprise organizations.",
Bugcrowd,Tier 1,184000000,$184 million,"$50 million Conventional Debt, November 1, 2024","General Catalyst, Rally Ventures, Costanoa Ventures, Blackbird Ventures, Paladin Capital Group, Salesforce Ventures, Triangle Peak Partners",1,registrants,"Bugcrowd is a crowdsourced cybersecurity platform founded in 2012, headquartered in San Francisco and Sydney. It specializes in bug bounty programs, penetration testing as a service (PTaaS), vulnerability disclosure, and attack surface management, connecting enterprises with a global community of vetted security researchers to identify and remediate security vulnerabilities.",https://www.bugcrowd.com
SiPearl SAS,Tier 1,182620000,$182.62 million over 6 rounds,"Series A - II for $37.41 million on July 8, 2025","European Innovation Council (EIC) Fund, French Tech Souveraineté, Cathay Venture, Arm, Atos Group, European Investment Bank (EIB)",1,registrants,"SiPearl SAS is a French company developing high-performance, energy-efficient microprocessors dedicated to high-performance computing (HPC), artificial intelligence (AI), and data centers. It is a spin-off from the European Processor Initiative consortium and focuses on designing processors for European exascale supercomputers and other advanced computing applications.",https://sipearl.com/
LiveKit,Tier 1,181300000,$181.3M,Series C - $100M (January 2026),"Index Ventures, Altimeter Capital, Hanabi Capital, Redpoint Ventures, Salesforce Ventures",2,"registrants,speakers","LiveKit is an open-source platform and developer ecosystem that enables developers to build, deploy, and scale real-time audio, video, and data applications with ultra-low latency and high scalability. It provides a comprehensive framework including media servers, client SDKs, and cloud-managed infrastructure, supporting use cases such as video conferencing, live streaming, AI voice agents, and robotics.",https://livekit.io
Mediator,Tier 1,181000000,$181M,"Series B, $76M, January 2026","Amplitude Ventures, ICG, Longwood Fund, Asahi Kasei Pharma, Alexandria Real Estate Equities, Novartis Venture Fund, Sofinnova Partners, Pfizer Ventures, Mass General Brigham Ventures, Ono Venture Investment",1,registrants,No specific official homepage URL or detailed company description for Mediator under Ilia Sky was found in the provided information.,
Upsun,Tier 1,180000000,$180M,,"La French Tech, Morgan Stanley Expansion Capital, Yttrium, Benhamou Global Ventures, Eurazeo",1,registrants,"Upsun is a cloud application platform that provides tools for building, deploying, and managing web applications on a scalable cloud platform. It is a single tool that covers the application life-cycle from development to production and scaling, allowing teams to run applications in multiple languages and frameworks across multiple clouds.",https://upsun.com/
CLEO,Tier 1,175000000,$175M,"Series C round of $80M on April 13, 2022","Sofina, TriplePoint Capital, Balderton Capital, LocalGlobe, EQT Ventures",1,registrants,"CLEO is a financial technology company that provides an AI-powered financial assistant designed to help people understand and manage their money confidently. It offers personalized guidance, budgeting tools, and conversational AI to make money management easier and more engaging.",https://web.meetcleo.com/
Sutro,Tier 1,175000000,"$2.2 million (initial round) - $175 million (Sutro Biopharma, different company)",,"Eniac Ventures, angel investors",1,registrants,Sutro is an LLM-driven app builder that enables businesses to create custom software instantly—without writing a single line of code. The platform combines AI and rule-based compilers to automate the app development process.,
Scality,Tier 1,174000000,$174M,"Corporate Minority, $25M, June 15, 2023","Atturra Managed Services, Menlo Ventures, Galileo Partners, Idinvest Partners, Harbert Management, BroadBand Tower, Somerville",9,registrants,"Scality is a global technology provider of software-defined storage solutions, specializing in distributed file and object storage with cloud data management. The company builds infinitely scalable, cyber-resilient S3 object storage designed to solve organizations' toughest data storage challenges, including growth, security, performance, and cost.",https://www.scality.com/
